reach,km,n,dh_median,dep_Mm3,ero_Mm3,cover_pct
A,19.75,732,-9.57,0.0,0.0331,21
A,20.25,472,-17.73,0.0001,0.0309,15
A,20.75,897,-11.74,0.0,0.0431,25
A,21.25,190,-8.92,0.0011,0.0088,4
A,21.75,1459,-13.01,0.0012,0.0723,36
A,22.25,1644,-13.2,0.0015,0.0817,32
A,23.25,1177,-7.2,0.0003,0.0281,27
A,23.75,5805,-9.68,0.0055,0.2087,43
A,24.25,10736,-8.24,0.0049,0.4031,99
A,24.75,14065,-2.59,0.0087,0.206,99
A,25.25,10418,-3.0,0.0188,0.1419,99
A,25.75,10487,-2.12,0.0044,0.0945,98
A,26.25,5261,-1.49,0.0111,0.0665,94
A,26.75,13288,-2.87,0.0015,0.173,93
A,27.25,9044,-3.43,0.0097,0.143,55
A,27.75,9293,-1.72,0.0086,0.0605,77
A,28.25,177,-0.66,0.0,0.0002,4
A,28.75,799,-4.47,0.0,0.0134,13
A,29.25,1600,-4.05,0.0007,0.0304,23
B,35.75,3745,-2.29,0.0039,0.0342,75
B,36.25,3764,-3.79,0.0,0.0604,97
B,36.75,9367,-1.83,0.0295,0.115,96
B,37.25,5557,-4.92,0.0035,0.1219,97
B,37.75,1743,-1.52,0.0037,0.0111,90
B,38.25,2692,-0.54,0.0044,0.0029,97
B,38.75,13238,-0.27,0.0317,0.0317,100
B,39.25,14842,-0.97,0.0301,0.0846,95
B,39.75,7174,-2.54,0.0007,0.0745,77
B,40.25,3552,0.73,0.0204,0.0188,88
B,40.75,2558,4.19,0.0389,0.0035,87
B,41.25,4426,-0.02,0.0341,0.0243,85
B,41.75,3406,1.09,0.06,0.0249,81
B,42.25,6416,0.4,0.1355,0.0656,90
B,42.75,3043,18.09,0.1595,0.0404,67
B,43.25,3062,10.68,0.0943,0.0509,72
B,43.75,2506,1.84,0.045,0.088,31
B,44.25,2405,-5.63,0.007,0.0471,35
B,44.75,3330,-12.68,0.0002,0.1539,36
B,45.25,3670,-6.17,0.0074,0.1435,82
B,45.75,3661,-4.03,0.0007,0.1048,78
B,46.25,84,1.48,0.0005,0.0012,2
