station,station_id,series_id,value_m,datetime_utc,datetime_npt
rasuwagadhi,4913,23251,1.776,2026-08-26 00:05:00+00:00,2026-08-26 05:50:00+05:45
rasuwagadhi,4913,23251,1.743,2026-08-26 00:15:00+00:00,2026-08-26 06:00:00+05:45
rasuwagadhi,4913,23251,1.747,2026-08-26 00:25:00+00:00,2026-08-26 06:10:00+05:45
rasuwagadhi,4913,23251,1.772,2026-08-26 00:35:00+00:00,2026-08-26 06:20:00+05:45
rasuwagadhi,4913,23251,1.735,2026-08-26 00:45:00+00:00,2026-08-26 06:30:00+05:45
rasuwagadhi,4913,23251,1.734,2026-08-26 00:55:00+00:00,2026-08-26 06:40:00+05:45
rasuwagadhi,4913,23251,1.736,2026-08-26 01:05:00+00:00,2026-08-26 06:50:00+05:45
rasuwagadhi,4913,23251,1.714,2026-08-26 01:15:00+00:00,2026-08-26 07:00:00+05:45
rasuwagadhi,4913,23251,1.725,2026-08-26 01:25:00+00:00,2026-08-26 07:10:00+05:45
rasuwagadhi,4913,23251,1.682,2026-08-26 01:35:00+00:00,2026-08-26 07:20:00+05:45
rasuwagadhi,4913,23251,1.676,2026-08-26 01:45:00+00:00,2026-08-26 07:30:00+05:45
rasuwagadhi,4913,23251,1.668,2026-08-26 01:55:00+00:00,2026-08-26 07:40:00+05:45
rasuwagadhi,4913,23251,1.654,2026-08-26 02:05:00+00:00,2026-08-26 07:50:00+05:45
rasuwagadhi,4913,23251,1.64,2026-08-26 02:15:00+00:00,2026-08-26 08:00:00+05:45
rasuwagadhi,4913,23251,1.641,2026-08-26 02:25:00+00:00,2026-08-26 08:10:00+05:45
rasuwagadhi,4913,23251,1.64,2026-08-26 02:35:00+00:00,2026-08-26 08:20:00+05:45
rasuwagadhi,4913,23251,1.626,2026-08-26 02:45:00+00:00,2026-08-26 08:30:00+05:45
rasuwagadhi,4913,23251,1.62,2026-08-26 02:55:00+00:00,2026-08-26 08:40:00+05:45
syabrubesi,191,2810,3.78540039062,2026-08-26 00:05:00+00:00,2026-08-26 05:50:00+05:45
syabrubesi,191,2810,3.83720016479,2026-08-26 00:15:00+00:00,2026-08-26 06:00:00+05:45
syabrubesi,191,2810,3.95980072021,2026-08-26 00:25:00+00:00,2026-08-26 06:10:00+05:45
syabrubesi,191,2810,3.9142999649,2026-08-26 00:35:00+00:00,2026-08-26 06:20:00+05:45
syabrubesi,191,2810,3.9435005188,2026-08-26 00:45:00+00:00,2026-08-26 06:30:00+05:45
syabrubesi,191,2810,3.83010005951,2026-08-26 00:55:00+00:00,2026-08-26 06:40:00+05:45
syabrubesi,191,2810,3.82590007782,2026-08-26 01:05:00+00:00,2026-08-26 06:50:00+05:45
syabrubesi,191,2810,3.89750003815,2026-08-26 01:15:00+00:00,2026-08-26 07:00:00+05:45
syabrubesi,191,2810,3.96780014038,2026-08-26 01:25:00+00:00,2026-08-26 07:10:00+05:45
syabrubesi,191,2810,3.93270015717,2026-08-26 01:35:00+00:00,2026-08-26 07:20:00+05:45
syabrubesi,191,2810,3.90719985962,2026-08-26 01:45:00+00:00,2026-08-26 07:30:00+05:45
syabrubesi,191,2810,3.90670013428,2026-08-26 01:55:00+00:00,2026-08-26 07:40:00+05:45
syabrubesi,191,2810,3.96860027313,2026-08-26 02:05:00+00:00,2026-08-26 07:50:00+05:45
syabrubesi,191,2810,3.76310062408,2026-08-26 02:15:00+00:00,2026-08-26 08:00:00+05:45
syabrubesi,191,2810,3.96590042114,2026-08-26 02:25:00+00:00,2026-08-26 08:10:00+05:45
syabrubesi,191,2810,3.88010025024,2026-08-26 02:35:00+00:00,2026-08-26 08:20:00+05:45
syabrubesi,191,2810,3.77750015259,2026-08-26 02:45:00+00:00,2026-08-26 08:30:00+05:45
syabrubesi,191,2810,3.9043006897,2026-08-26 02:55:00+00:00,2026-08-26 08:40:00+05:45
syabrubesi,191,2810,3.80440044403,2026-08-26 03:05:00+00:00,2026-08-26 08:50:00+05:45
