distance_m,easting_m,northing_m,elevation_m_egm2008,dem_valid
0.0,340820.16023793665,3129072.8063732744,1804.9219970703125,True
30.0,340801.5349788412,3129049.753601606,1804.9219970703125,True
60.0,340797.6605863069,3129020.7367868423,1801.504638671875,True
90.0,340791.39087435714,3128991.7486404795,1792.3046875,True
120.0,340782.47625490854,3128963.103753325,1788.703857421875,True
150.0,340791.5943448054,3128935.3978630784,1786.0213623046875,True
180.0,340803.4358701039,3128907.833787208,1788.890625,True
210.0,340815.2773954024,3128880.269711337,1780.810546875,True
240.0,340827.1189207008,3128852.7056354666,1775.361572265625,True
270.0,340837.74746350595,3128824.7322264905,1797.1331787109375,True
300.0,340845.02879710763,3128795.629268205,1788.5382080078125,True
330.0,340852.31013070926,3128766.526309919,1781.1759033203125,True
360.0,340859.8062398077,3128737.4790618187,1790.744873046875,True
390.0,340867.589079812,3128708.5061882734,1786.1903076171875,True
420.0,340875.3719198163,3128679.533314728,1786.665283203125,True
450.0,340878.87593383703,3128649.808041064,1788.8798828125,True
480.0,340881.44186196354,3128619.917975648,1787.212158203125,True
510.0,340884.006548233,3128590.027803612,1781.6092529296875,True
540.0,340886.5712345024,3128560.137631576,1774.5699462890625,True
570.0,340882.90645903343,3128530.423190878,1768.8330078125,True
600.0,340878.6608059035,3128500.725136573,1768.2669677734375,True
630.0,340874.4150751134,3128471.0270933714,1766.5072021484375,True
660.0,340870.16861895553,3128441.329153879,1766.5185546875,True
690.0,340865.92216279765,3128411.6312143863,1769.3294677734375,True
720.0,340866.07350428606,3128381.8312954367,1769.0545654296875,True
750.0,340868.93881975824,3128351.968442806,1768.3311767578125,True
780.0,340871.4511179515,3128322.093059113,1769.114990234375,True
810.0,340870.71043088596,3128292.102204129,1770.22119140625,True
840.0,340869.96974382043,3128262.111349145,1773.8082275390625,True
870.0,340869.374693269,3128232.117483006,1780.1705322265625,True
900.0,340865.2716966793,3128202.9644121127,1786.3687744140625,True
930.0,340852.4162389543,3128175.8583757617,1778.9591064453125,True
960.0,340835.8760451102,3128151.203596065,1778.9591064453125,True
990.0,340815.8434071443,3128128.872151505,1775.666259765625,True
