line,chainage_km,thalweg_z,unosat_affected_cells,unosat_affected_trimline_m,unosat_affected_trimline_p25_m,unosat_affected_trimline_p75_m,unosat_affected_width_m,unosat_floodextent_cells,unosat_floodextent_trimline_m,unosat_floodextent_trimline_p25_m,unosat_floodextent_trimline_p75_m,unosat_floodextent_width_m,planet_disturbed_p50_cells,planet_disturbed_p50_trimline_m,planet_disturbed_p50_trimline_p25_m,planet_disturbed_p50_trimline_p75_m,planet_disturbed_p50_width_m
route,0.25,1760.509521484375,334,104.44091796875,69.0247802734375,147.9053955078125,601.2,334,104.44091796875,69.0247802734375,147.9053955078125,601.2,0,,,,0.0
route,0.75,1744.1494140625,185,115.81103515625,38.001220703125,123.5069580078125,333.0,185,115.81103515625,38.001220703125,123.5069580078125,333.0,0,,,,0.0
route,1.25,1746.033447265625,180,88.0062255859375,45.388427734375,101.35986328125,324.0,180,88.0062255859375,45.388427734375,101.35986328125,324.0,0,,,,0.0
route,1.75,1720.6661376953125,137,41.1632080078125,30.0740966796875,128.0125732421875,246.6,137,41.1632080078125,30.0740966796875,128.0125732421875,246.6,0,,,,0.0
route,2.25,1703.6033935546875,122,90.9288330078125,28.0552978515625,163.0999755859375,219.6,122,90.9288330078125,28.0552978515625,163.0999755859375,219.6,31,25.2154541015625,17.180419921875,32.9208984375,55.8
route,2.75,1705.4134521484375,101,20.830078125,9.0902099609375,45.8739013671875,181.8,101,20.830078125,9.0902099609375,45.8739013671875,181.8,12,6.5982666015625,4.0592041015625,9.046630859375,21.6
route,3.25,1686.7757568359375,186,60.0152587890625,50.0003662109375,65.2193603515625,334.8,186,60.0152587890625,50.0003662109375,65.2193603515625,334.8,2,42.3560791015625,41.686279296875,43.0260009765625,3.6
route,3.75,1670.184814453125,166,68.5516357421875,22.700439453125,91.41064453125,298.8,166,68.5516357421875,22.700439453125,91.41064453125,298.8,12,83.47412109375,70.166015625,88.409912109375,21.6
route,4.25,1655.682861328125,110,50.650390625,36.556640625,91.1845703125,198.0,110,50.650390625,36.556640625,91.1845703125,198.0,7,73.874755859375,45.7861328125,92.677001953125,12.6
route,4.75,1625.8797607421875,115,69.3341064453125,56.636962890625,98.229248046875,207.0,115,69.3341064453125,56.636962890625,98.229248046875,207.0,0,,,,0.0
route,5.25,1619.794921875,137,55.71923828125,35.762939453125,97.4775390625,246.6,137,55.71923828125,35.762939453125,97.4775390625,246.6,0,,,,0.0
route,5.75,1630.681884765625,112,80.97998046875,21.9549560546875,99.611572265625,201.6,112,80.97998046875,21.9549560546875,99.611572265625,201.6,0,,,,0.0
route,6.25,1617.7332763671875,89,64.4102783203125,14.529052734375,81.2999267578125,160.2,89,64.4102783203125,14.529052734375,81.2999267578125,160.2,0,,,,0.0
route,6.75,1589.8367919921875,90,49.7701416015625,15.3319091796875,71.7611083984375,162.0,90,49.7701416015625,15.3319091796875,71.7611083984375,162.0,0,,,,0.0
route,7.25,1573.9356689453125,94,57.9884033203125,39.1343994140625,76.09521484375,169.2,94,57.9884033203125,39.1343994140625,76.09521484375,169.2,40,21.7103271484375,10.013916015625,53.7342529296875,72.0
route,7.75,1565.30615234375,86,58.1474609375,40.1348876953125,97.284912109375,154.8,86,58.1474609375,40.1348876953125,97.284912109375,154.8,43,23.12548828125,14.5762939453125,44.273681640625,77.4
route,8.25,1551.8162841796875,105,38.36328125,24.5452880859375,50.6837158203125,189.0,105,38.36328125,24.5452880859375,50.6837158203125,189.0,79,41.6317138671875,11.7691650390625,58.6849365234375,142.2
route,8.75,1542.3651123046875,99,48.4619140625,24.3048095703125,62.5208740234375,178.2,99,48.4619140625,24.3048095703125,62.5208740234375,178.2,25,12.7860107421875,7.9290771484375,48.7103271484375,45.0
route,9.25,1529.173095703125,107,64.00537109375,36.1148681640625,94.979248046875,192.6,106,62.09765625,36.887451171875,88.577880859375,190.8,6,77.3668212890625,71.7266845703125,82.366455078125,10.8
route,9.75,1518.0460205078125,111,48.870849609375,25.0303955078125,85.2005615234375,199.8,110,48.870849609375,25.0303955078125,82.425048828125,198.0,0,,,,0.0
route,10.25,1496.328125,90,38.3408203125,19.126953125,104.8331298828125,162.0,88,38.3408203125,19.126953125,96.98974609375,158.4,0,,,,0.0
route,10.75,1485.73388671875,108,46.15625,29.835205078125,70.9638671875,194.4,106,46.15625,30.876220703125,63.38330078125,190.8,47,24.955322265625,11.7789306640625,51.635986328125,84.6
route,11.25,1476.847412109375,113,66.8480224609375,25.3306884765625,83.150634765625,203.4,112,65.20458984375,25.798828125,76.9876708984375,201.6,38,36.318115234375,12.9677734375,57.416015625,68.4
route,11.75,1467.733642578125,97,53.5938720703125,19.939208984375,90.037353515625,174.6,99,69.091064453125,21.1820068359375,90.592041015625,178.2,34,14.06982421875,5.921630859375,46.5115966796875,61.2
route,12.25,1459.065673828125,173,57.638916015625,43.382080078125,80.9287109375,311.4,175,57.881103515625,43.382080078125,80.9287109375,315.0,85,38.900146484375,10.304443359375,55.81884765625,153.0
route,12.75,1438.2777099609375,106,66.037353515625,29.55029296875,91.331787109375,190.8,107,66.037353515625,29.55029296875,91.331787109375,192.6,12,56.9942626953125,34.3876953125,73.288818359375,21.6
route,13.25,1427.607177734375,81,79.3681640625,11.82177734375,87.7388916015625,145.8,82,70.6923828125,12.894775390625,87.7388916015625,147.6,0,,,,0.0
route,13.75,1438.9041748046875,113,42.931396484375,14.2071533203125,62.59814453125,203.4,113,42.931396484375,14.2071533203125,62.53076171875,203.4,0,,,,0.0
route,14.25,1417.6226806640625,211,63.5667724609375,49.6474609375,90.1219482421875,379.8,212,65.449462890625,51.4576416015625,89.3349609375,381.6,0,,,,0.0
route,14.75,1408.29736328125,147,65.5157470703125,49.8392333984375,75.556640625,264.6,147,65.5157470703125,49.971923828125,71.257568359375,264.6,50,23.585693359375,17.843994140625,41.169677734375,90.0
route,15.25,1398.6502685546875,126,83.2318115234375,55.384765625,183.2542724609375,226.8,127,83.2318115234375,55.384765625,183.2542724609375,228.6,54,27.1904296875,15.2247314453125,50.8077392578125,97.2
route,15.75,1386.771484375,97,52.1710205078125,23.249755859375,78.5850830078125,174.6,98,52.1710205078125,24.0152587890625,78.5850830078125,176.4,49,22.53466796875,10.896484375,41.3121337890625,88.2
route,16.25,1376.7396240234375,95,57.6646728515625,25.179931640625,71.89013671875,171.0,91,52.18798828125,25.179931640625,71.51123046875,163.8,56,30.9686279296875,9.923828125,52.9549560546875,100.8
route,16.75,1362.7308349609375,100,35.1854248046875,10.510986328125,76.8328857421875,180.0,100,43.2535400390625,11.5682373046875,73.0223388671875,180.0,13,16.223388671875,11.9481201171875,30.0140380859375,23.4
route,17.25,1349.28857421875,103,54.5794677734375,27.899658203125,69.1346435546875,185.4,102,61.45458984375,29.3394775390625,68.1875,183.6,0,,,,0.0
route,17.75,1342.5260009765625,115,57.417724609375,37.7999267578125,97.3709716796875,207.0,114,54.20947265625,37.7999267578125,97.3709716796875,205.2,0,,,,0.0
